word,meaning,sentence,sentence_translation
abroad,해외로,"He is currently living and working abroad.","그는 현재 해외에서 거주하며 일하고 있다."
abrupt,"갑작스러운; 뜻밖의","The car came to an abrupt halt.","차가 갑작스럽게 멈춰 섰다."
academic,"학업의; 학문적인; 학구적인","She has an excellent academic record.","그녀는 학업 성적이 매우 우수하다."
acceptable,"받아들일 수 있는; 인정할 만한","His performance was acceptable, but not outstanding.","그의 실적은 괜찮았지만 뛰어나지는 않았다."
accommodate,"수용하다; 맞추다","The hotel can accommodate up to 500 guests.","그 호텔은 최대 500명의 손님을 수용할 수 있다."
accountable,"책임 있는; 설명할 수 있는","You will be held accountable for your actions.","당신은 자신의 행동에 대해 책임을 져야 할 것입니다."
achieve,"성취하다; 달성하다","She worked hard to achieve her dream.","그녀는 꿈을 이루기 위해 열심히 노력했다."
acidic,"산성의; 신","Lemons have a very acidic taste.","레몬은 매우 신 맛이 난다."
acknowledgement,"승인; 인정","We are still waiting for an official acknowledgement from the company.","우리는 여전히 그 회사로부터 공식적인 인정을 기다리고 있다."
acoustic,"청각의; 음향의; 어쿠스틱(전기 앰프를 사용하지 않는 악기)","He played an acoustic guitar.","그는 어쿠스틱 기타를 연주했다."
across,"가로질러; 맞은편에;~을 가로지르는","The library is just across the street.","도서관은 바로 길 건너편에 있다."
adaptable,"적응할 수 있는","He is an adaptable employee who learns new skills quickly.","그는 새로운 기술을 빨리 배우는 적응력 있는 직원이다."
add,"합치다; 추가하다","Please add my name to the list.","제 이름을 명단에 추가해 주세요."
addictive,"중독성의; 습관성의","Many people find video games to be highly addictive.","많은 사람들이 비디오 게임이 중독성이 매우 강하다고 생각한다."
address,"연설; 주소;연설하다; 주소를 쓰다; 처리하다","The president will address the nation tonight.;We need to address this problem immediately.","대통령은 오늘 밤 대국민 연설을 할 것입니다.;우리는 이 문제를 즉시 처리해야 한다."
adjustable,"조정 가능한","This office chair has an adjustable height.","이 사무용 의자는 높이 조절이 가능하다."
administer,"관리하다; 집행하다","It is her job to administer the company's finances.","회사의 재정을 관리하는 것이 그녀의 일이다."
administration,"관리; 행정; 경영진","The school administration has decided to change the policy.","학교 행정부는 그 방침을 바꾸기로 결정했다."
admire,"존경하다; 감탄하다","I really admire her for her dedication.","나는 그녀의 헌신에 진심으로 감탄한다."
adopt,"채택하다; 입양하다","The committee decided to adopt a new strategy.;They are planning to adopt a baby.","위원회는 새로운 전략을 채택하기로 결정했다.;그들은 아기를 입양할 계획이다."
advantage,"유리; 이점; 장점","Being tall is a big advantage in basketball.","키가 큰 것은 농구에서 큰 이점이다."
