word,meaning,sentence,sentence_translation
in the foreground,"사진의 전경에는","In the foreground, there is a large tree.","사진의 전경에는 큰 나무가 있습니다."
at the front,"앞쪽에는","At the front, you can see a big desk.","앞쪽에는 큰 책상이 보입니다."
in the background,"사진의 배경에는","In the background, you can see the mountains.","사진의 배경에는 산이 보입니다."
at the back,"뒤쪽에는","At the back, there is a tall building.","뒤쪽에는 큰 건물이 있습니다."
next to,"옆에는","There is a chair next to the table.","테이블 옆에는 의자가 있습니다."
right next to,"바로 옆에는","The school is right next to the park.","학교는 공원 바로 옆에 있습니다."
to the left of,"~의 왼쪽에","There is a tree to the left of the house.","집의 왼쪽에는 나무가 있습니다."
to the right of,"~의 오른쪽에","The car is parked to the right of the store.","차는 가게 오른쪽에 주차되어 있습니다."
the left corner,"왼쪽 모서리에","There is a lamp in the left corner.","왼쪽 모서리에 램프가 있습니다."
the right corner,"오른쪽 모서리에","There is a box in the right corner.","오른쪽 모서리에 상자가 있습니다."
the top corner,"위쪽 모서리에","There is a clock in the top corner.","위쪽 모서리에 시계가 있습니다."
the bottom corner,"아래쪽 모서리에","There is a bag in the bottom corner.","아래쪽 모서리에 가방이 있습니다."
above,"위에는","The lamp is above the desk.","램프는 책상 위에 있습니다."
below,"아래에는","There is a box below the shelf.","선반 아래에는 상자가 있습니다."
bright,"밝은","It looks like it is bright today.","오늘은 밝은 날씨로 보입니다."
sunny,"햇빛이 쨍쨍한","It looks like it is sunny outside.","밖은 햇빛이 쨍쨍한 날씨로 보입니다."
warm,"따뜻한","It looks like it is warm today.","오늘은 따뜻한 날씨로 보입니다."
with a clear sky,"맑은 하늘이 있는","It looks like it is with a clear sky.","맑은 하늘이 있는 날씨로 보입니다."
cloudy,"구름 낀","It looks like it is cloudy today.","오늘은 구름 낀 날씨로 보입니다."
foggy,"안개 낀","It looks like it is foggy this morning.","오늘 아침은 안개 낀 날씨로 보입니다."
gloomy,"어둑어둑한","It looks like it is gloomy outside.","밖은 어둑어둑해 보입니다."
chilly,"쌀쌀한","It looks like it is chilly today.","오늘은 쌀쌀한 날씨로 보입니다."
drizzling,"비가 보슬보슬 내리는","It looks like it is drizzling.","비가 보슬보슬 내리는 날씨로 보입니다."
snowing,"눈이 내리는","It looks like it is snowing.","눈이 내리는 날씨로 보입니다."
one person,"1명","This is a picture of one person in the park.","이것은 공원에 있는 한 사람의 사진입니다."
several people,"여러 명","This is a picture of several people walking together.","이것은 여러 명이 함께 걷고 있는 사진입니다."
a crowd,"군중","This is a picture of a crowd in the city.","이것은 도시의 군중 사진입니다."
young,"어린","The child looks young and happy.","그 아이는 어리고 행복해 보입니다."
old,"나이가 많은","The old man is reading a book.","그 나이 많은 남자는 책을 읽고 있습니다."
baby,아기,"This is a picture of a baby on a bed.","이것은 침대 위에 있는 아기의 사진입니다."
infant,아기,"This is a picture of an infant on a bed.","이것은 침대 위에 있는 아기의 사진입니다."
teenager,"십대아이","The teenager is listening to music.","그 십대는 음악을 듣고 있습니다."
delighted,"몹시 기쁜","She was delighted with the surprise gift.","그녀는 깜짝 선물을 받고 몹시 기뻐했습니다."
confused,"혼란스러운","He looked confused during the test.","그는 시험 도중 혼란스러워 보였습니다."
frightened,"놀란","The child was frightened by the loud noise.","그 아이는 큰 소리에 놀랐습니다."
short hair,"짧은 머리","He has short hair.","그는 짧은 머리를 하고 있습니다."
long hair,"긴 머리","She has long hair.","그녀는 긴 머리를 하고 있습니다."
ponytail,"묶은 머리;포니테일","The woman has her hair in a ponytail.","그 여자는 머리를 포니테일로 묶고 있습니다."
shirt,"셔츠","The man is wearing a white shirt.","그 남자는 흰 셔츠를 입고 있습니다."
dress,"원피스","The woman is wearing a beautiful dress.","그 여자는 아름다운 원피스를 입고 있습니다."
walking,걷는,"They are walking along the street.","그들은 거리를 따라 걷고 있습니다."
running,달리는,"They are running along the street.","그들은 거리를 따라 달리고 있습니다."
chatting with,"~와 이야기하는","They are chatting with their friends.","그들은 친구들과 이야기하고 있습니다."
laughing,"웃는","They are laughing together.","그들은 함께 웃고 있습니다."
exhausted,"지친; 기진맥진한","The man in the photo looks exhausted after climbing the hill.","사진 속 남자는 언덕을 오른 후 지쳐 보인다."
infuriated,"몹시 화난; 격분한","She appears infuriated in the picture, with her arms crossed.","사진 속 그녀는 팔짱을 끼고 몹시 화난 모습이다."
forlorn,"쓸쓸한; 외로운","The dog looks forlorn sitting alone in the yard.","마당에 홀로 앉아 있는 개가 쓸쓸해 보인다."
stressed,"스트레스를 받은","He looks stressed while sitting at his messy desk.","그는 어질러진 책상에 앉아 스트레스를 받은 모습이다."
ecstatic,"황홀한; 크게 기뻐하는","The child looks ecstatic while holding the balloon.","풍선을 들고 있는 아이가 황홀해 보인다."
pleased,"기뻐하는; 만족스러운","She looks pleased as she smiles at the camera.","그녀는 카메라를 향해 미소 지으며 기뻐하는 듯하다."
contemplative,"사색적인; 깊이 생각하는","He looks contemplative as he stares out the window.","창밖을 바라보며 그는 사색적인 표정을 짓고 있다."
formal,"격식을 차린; 정장의","The man looks formal in his suit and tie.","그 남자는 정장과 넥타이를 매고 격식을 차린 모습이다."
casual,"평상복의; 격식을 차리지 않은","The group is dressed in casual clothes at the park.","공원에서 사람들이 캐주얼 복장을 하고 있다."
stylish,"세련된; 멋진","She looks stylish in her fashionable outfit.","그녀는 세련된 옷차림으로 멋져 보인다."
athletic,"운동선수 같은; 운동복의","He looks athletic in his sportswear.","운동복을 입은 그는 운동선수처럼 보인다."
into the distance,"멀리 바라보고 있는","She is staring into the distance from the balcony.","그녀는 발코니에서 멀리를 바라보고 있다."
at some mountains,"산을 보고 있는","The man is looking at some mountains in the distance.","그 남자는 멀리 있는 산을 바라보고 있다."
at a piece of art,"그림을 보고 있는","She is staring at a piece of art in the gallery.","그녀는 갤러리에서 그림을 바라보고 있다."
into the camera,"카메라를 보고 있는","The boy is looking directly into the camera.","소년은 카메라를 똑바로 바라보고 있다."
cloudless,"구름 한 점 없는; 맑은","The photo shows a cloudless blue sky.","사진에는 구름 한 점 없는 파란 하늘이 보인다."
cloudy,"구름이 낀","The landscape looks cloudy with gray skies.","풍경은 회색 하늘로 구름이 끼어 있다."
overcast,"완전히 흐린","The picture shows an overcast afternoon.","사진에는 완전히 흐린 오후가 담겨 있다."
